Trig_date,District,Chiefdom,Section,Name_of_community,Male_child,Male_Adult,Total_male,Female_child,Female_adult,Total_female,Chiefs,Youth_leaders,Religious_leaders,Police,Women_leaders,Health_workers,Children,ss_mc,ss_fc,ss_ma,ss_fa,r_mc,r_fc,r_ma,r_fa,d_mc,d_fc,d_ma,d_fa,b_mc,b_fc,b_ma,b_fa,cb_mc,cb_fc,cb_ma,cb_fa
12/4/2014,Port Loko,Koya,Roponka,Mamerre,NA,NA,9,NA,NA,15,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
12/5/2014,Port Loko,Koya,Roponka,Robanka,NA,NA,9,NA,NA,15,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
12/2/2014,Port Loko,Koya,Gbabai,Dokormalah,NA,NA,11,NA,NA,14,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2014,Port Loko,Koya,Gbabai,Mamaleque,NA,NA,12,NA,NA,15,1,1,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2014,Port Loko,Koya,Gbabai,Rogbohroh,NA,NA,11,NA,NA,15,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,5,1,0,0,1,0,0,2,4
12/5/2014,Port Loko,Koya,Gbabai,Mathaka,NA,NA,9,NA,NA,15,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/2/2014,Port Loko,Koya,Madoma,Magbandoma,NA,NA,11,NA,NA,14,1,1,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2014,Port Loko,Koya,Madoma,Mile 36,NA,NA,9,NA,NA,15,1,2,3,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2014,Port Loko,Koya,Madoma,Mayopo,NA,NA,11,NA,NA,15,1,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/5/2014,Port Loko,Koya,Madoma,Rukupr,NA,NA,10,NA,NA,14,1,2,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/2/2014,Port Loko,Koya,Ro-Futha,Rosint 1,NA,NA,NA,NA,NA,NA,3,1,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2014,Port Loko,Koya,Ro-Futha,Mashneh,NA,NA,NA,NA,NA,15,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2014,Port Loko,Koya,Ro-Futha,Mafera,NA,NA,NA,NA,NA,14,1,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/5/2014,Port Loko,Koya,Ro-Futha,Romaka,NA,NA,10,NA,NA,15,2,2,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/2/2014,Port Loko,Koya,Foredugu,Foredugu,NA,NA,NA,NA,NA,15,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2014,Port Loko,Koya,Foredugu,Makabie,NA,NA,9,NA,NA,15,1,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2014,Port Loko,Koya,Foredugu,Worreh,NA,NA,12,NA,NA,15,2,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/5/2014,Port Loko,Koya,Foredugu,Laya,NA,NA,7,NA,NA,15,1,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/2/2014,Port Loko,Koya,Matheneh,Rogberay,NA,NA,9,NA,NA,15,1,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2014,Port Loko,Koya,Matheneh,Warima,NA,NA,11,NA,NA,15,1,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
12/4/2014,Port Loko,Koya,Matheneh,Mamoi,NA,NA,9,NA,NA,15,2,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/5/2014,Port Loko,Koya,Matheneh,Mafofaiya,NA,NA,11,NA,NA,15,1,1,1,0,1,0,4,0,0,0,0,0,0,0,0,13,5,10,8,13,5,10,8,0,0,0,0
